release_date,title,production_budget,domestic_gross_tn,worldwide_gross,domestic_gross_bom,foreign_gross,rating_tmdb,release_month,profit,roi,movie_id,primary_title,runtime_minutes,genres,rating_imdb,numvotes,original_title,rating,critic_score,id,studio,year
2015-10-16,Crimson Peak,55000000.0,31090320.0,74966854.0,31100000.0,43600000,6.5,Oct,19966854.0,0.3630337090909091,tt2554274,Crimson Peak,119.0,"drama, fantasy, horror",6.5,119287.0,Crimson Peak,6.416666666666667,6.25,33,Uni.,2015
2013-02-01,Bullet to the Head,55000000.0,9489829.0,22597969.0,9500000.0,,5.4,Feb,-32402031.0,-0.5891278363636364,tt1308729,Bullet to the Head,92.0,"action, crime, thriller",5.7,44816.0,Bullet to the Head,5.550000000000001,,42,WB,2013
2015-09-18,Black Mass,53000000.0,62575678.0,98837872.0,62600000.0,37200000,6.4,Sep,45837872.0,0.8648655094339622,tt1355683,Black Mass,123.0,"biography, crime, drama",6.9,155847.0,Black Mass,6.65,,59,WB,2015
2012-12-19,Zero Dark Thirty,52500000.0,95720716.0,134612435.0,95700000.0,37100000,6.9,Dec,82112435.0,1.564046380952381,tt1790885,Zero Dark Thirty,157.0,"drama, thriller",7.4,251072.0,Zero Dark Thirty,7.15,,66,Sony,2012
2010-02-12,Valentine's Day,52000000.0,110485654.0,217569328.0,110500000.0,106000000,5.8,Feb,165569328.0,3.1840255384615386,tt0817230,Valentine's Day,125.0,"comedy, romance",5.7,107171.0,Valentine's Day,5.75,,70,WB (NL),2010
2011-08-05,The Change-Up,52000000.0,37243418.0,75997067.0,37100000.0,38400000,6.0,Aug,23997067.0,0.4614820576923077,tt1488555,The Change-Up,112.0,"comedy, fantasy",6.3,155374.0,The Change-Up,6.15,,72,Uni.,2011
2018-08-17,Alpha,51000000.0,35851379.0,99624873.0,35900000.0,62300000,7.0,Aug,48624873.0,0.9534288823529412,tt2121250,Alpha,116.0,crime,5.5,102.0,A,6.25,,79,Studio 8,2018
2018-08-17,Alpha,51000000.0,35851379.0,99624873.0,35900000.0,62300000,7.0,Aug,48624873.0,0.9534288823529412,tt3166734,Alpha,80.0,"drama, horror, mystery",7.7,37.0,A,7.35,,79,Studio 8,2018
2018-08-17,Alpha,51000000.0,35851379.0,99624873.0,35900000.0,62300000,7.0,Aug,48624873.0,0.9534288823529412,tt4244998,Alpha,96.0,"adventure, drama, family",6.7,41882.0,A,6.85,,79,Studio 8,2018
2018-08-17,Alpha,51000000.0,35851379.0,99624873.0,35900000.0,62300000,7.0,Aug,48624873.0,0.9534288823529412,tt6313896,Alpha,90.0,"crime, drama, fantasy",,,A,7.0,,79,Studio 8,2018
